raceId,constructorId,points
1051,Haas,0
1051,Williams,23
1051,Alpine,137
1051,AlfaRomeo,11
1051,AstonMartin,77
1051,AlphaTauri,112
1051,Ferrari,297.5
1051,Mclaren,258
1051,RedBull,541.5
1051,Mercedes,546.5
1052,Mercedes,41
1052,RedBull,28
1052,Mclaren,18
1052,Ferrari,12
1052,AlphaTauri,2
1052,AstonMartin,1
1052,AlfaRomeo,0
1052,Alpine,0
1052,Williams,0
1052,Haas,0
1053,Williams,0
1053,AlfaRomeo,0
1053,Haas,0
1053,RedBull,53
1053,Mclaren,41
1053,Alpine,3
1053,AstonMartin,5
1053,AlphaTauri,8
1053,Ferrari,34
1053,Mercedes,60
1054,Mercedes,101
1054,RedBull,83
1054,Mclaren,53
1054,Ferrari,42
1054,AlphaTauri,9
1054,AstonMartin,5
1054,AlfaRomeo,0
1054,Alpine,13
1054,Williams,0
1054,Haas,0
1055,Mercedes,141
1055,RedBull,112
1055,Mclaren,65
1055,Ferrari,60
1055,AlphaTauri,10
1055,AstonMartin,5
1055,AlfaRomeo,0
1055,Alpine,15
1055,Williams,0
1055,Haas,0
1056,Mercedes,148
1056,RedBull,149
1056,Mclaren,80
1056,Ferrari,78
1056,AlphaTauri,18
1056,AstonMartin,19
1056,AlfaRomeo,1
1056,Alpine,17
1056,Williams,0
1056,Haas,0
1057,Mercedes,148
1057,RedBull,174
1057,Mclaren,92
1057,Ferrari,94
1057,AlphaTauri,39
1057,AstonMartin,37
1057,AlfaRomeo,2
1057,Alpine,25
1057,Williams,0
1057,Haas,0
1059,Mercedes,178
1059,RedBull,215
1059,Mclaren,110
1059,Ferrari,94
1059,AlphaTauri,45
1059,AstonMartin,40
1059,AlfaRomeo,2
1059,Alpine,29
1059,Williams,0
1059,Haas,0
1058,Mercedes,212
1058,RedBull,252
1058,Mclaren,120
1058,Ferrari,108
1058,AlphaTauri,46
1058,AstonMartin,44
1058,AlfaRomeo,2
1058,Alpine,31
1058,Williams,0
1058,Haas,0
1060,Haas,0
1060,AlphaTauri,48
1060,Ferrari,122
1060,Williams,0
1060,Alpine,32
1060,AlfaRomeo,2
1060,AstonMartin,44
1060,Mclaren,141
1060,RedBull,286
1060,Mercedes,242
1061,Mercedes,285
1061,RedBull,289
1061,Mclaren,163
1061,Ferrari,148
1061,AlphaTauri,49
1061,AstonMartin,48
1061,AlfaRomeo,2
1061,Alpine,40
1061,Williams,0
1061,Haas,0
1062,Alpine,77
1062,AlfaRomeo,3
1062,AstonMartin,48
1062,AlphaTauri,68
1062,Mclaren,163
1062,Haas,0
1062,Williams,10
1062,Ferrari,163
1062,RedBull,291
1062,Mercedes,303
1063,Mercedes,310.5
1063,RedBull,303.5
1063,Mclaren,169
1063,Ferrari,165.5
1063,AlphaTauri,72
1063,AstonMartin,53
1063,AlfaRomeo,3
1063,Alpine,80
1063,Williams,20
1063,Haas,0
1064,Mercedes,344.5
1064,RedBull,332.5
1064,Mclaren,170
1064,Ferrari,181.5
1064,AlphaTauri,84
1064,AstonMartin,53
1064,AlfaRomeo,3
1064,Alpine,90
1064,Williams,20
1064,Haas,0
1065,Mercedes,362.5
1065,RedBull,344.5
1065,Mclaren,215
1065,Ferrari,201.5
1065,AlphaTauri,84
1065,AstonMartin,59
1065,AlfaRomeo,3
1065,Alpine,95
1065,Williams,22
1065,Haas,0
1066,Mercedes,397.5
1066,RedBull,364.5
1066,Mclaren,234
1066,Ferrari,216.5
1066,AlphaTauri,84
1066,AstonMartin,59
1066,AlfaRomeo,7
1066,Alpine,103
1066,Williams,23
1066,Haas,0
1067,Mercedes,433.5
1067,RedBull,397.5
1067,Mclaren,240
1067,Ferrari,232.5
1067,AlphaTauri,92
1067,AstonMartin,61
1067,AlfaRomeo,7
1067,Alpine,104
1067,Williams,23
1067,Haas,0
1069,Mercedes,460.5
1069,RedBull,437.5
1069,Mclaren,254
1069,Ferrari,250.5
1069,AlphaTauri,94
1069,AstonMartin,62
1069,AlfaRomeo,7
1069,Alpine,104
1069,Williams,23
1069,Haas,0
1070,Mercedes,478.5
1070,RedBull,477.5
1070,Mclaren,255
1070,Ferrari,268.5
1070,AlphaTauri,106
1070,AstonMartin,68
1070,AlfaRomeo,11
1070,Alpine,106
1070,Williams,23
1070,Haas,0
1071,Mercedes,521.5
1071,RedBull,510.5
1071,Mclaren,256
1071,Ferrari,287.5
1071,AlphaTauri,112
1071,AstonMartin,68
1071,AlfaRomeo,11
1071,Alpine,112
1071,Williams,23
1071,Haas,0
1072,Mercedes,587.5
1072,RedBull,559.5
1072,Mclaren,269
1072,Ferrari,307.5
1072,AlphaTauri,120
1072,AstonMartin,77
1072,AlfaRomeo,13
1072,Alpine,149
1072,Williams,23
1072,Haas,0
1073,Mercedes,613.5
1073,RedBull,585.5
1073,Mclaren,275
1073,Ferrari,323.5
1073,AlphaTauri,142
1073,AstonMartin,77
1073,AlfaRomeo,13
1073,Alpine,155
1073,Williams,23
1073,Haas,0
